Title,Image,Nickname,Label,Keywords,Keywords1,Keywords2,Label3,Label4,Label5,Label6,Label7,Label8,Label9,Label10,accessibilityratingcaption,View,View11,Text,Text1,Text2,Text3,Text4
Great for petites,https://r-ap.rtrcdn.com/reviewimages/92d/1508665-largeThumb.jpg,Jillian,TOP CONTRIBUTOR,Size worn: XXSR,Overall fit: True to Size,Rented for: Vacation,0,"5' 0""",30,Bust size: ,32C,Body type: ,PETITE,115LBS,(5 out of 5 stars),"DECEMBER 28, 2020","I really love this dress. The fabric is thin and breathable, so not great this time of year if you live somewhere cold. I love that it still works as a maxi on my short frame. I tried on with knee high boots, but plan to wear with sandals when I visit my in-laws in Orlando!",Rixo,Paisley Brooke Dress,$388 original retail,$30 – $40,"Black printed cotton (80% Cotton, 20% Silk). Hourglass. Long sleeves. V-neckline. Elastic waistband. 54"" from shoulder to hemline. Imported."
Stretchy on top- expensive boho vibes ,https://r-ap.rtrcdn.com/reviewimages/c35/1506019-largeThumb.jpg,Veronica,TOP CONTRIBUTOR,Size worn: XLR,Rented for: Everyday,"Usually wears: 10Height: 5' 11""Age: 34Bust size: 36DBody type: HourglassWeight: 180lbs",10,"5' 11""",34,Bust size: ,36D,Body type: ,HOURGLASS,180LBS,(5 out of 5 stars),"DECEMBER 9, 2020",Really cute- so easy to wear. Lightweight for summer and can wear with tights and boots for winter. ,Rixo,Paisley Brooke Dress,$388 original retail,$30 – $40,"Black printed cotton (80% Cotton, 20% Silk). Hourglass. Long sleeves. V-neckline. Elastic waistband. 54"" from shoulder to hemline. Imported."
Beautiful fabric and design of the dress. ,https://r-ap.rtrcdn.com/reviewimages/561/1497341-largeThumb.jpg,Mrs ,TOP CONTRIBUTOR,Size worn: XSR,Rented for: Everyday,"Usually wears: 2Height: 5' 2""Age: 45Bust size: 34BBody type: AthleticWeight: 118lbs",2,"5' 2""",45,Bust size: ,34B,Body type: ,ATHLETIC,118LBS,(5 out of 5 stars),"OCTOBER 25, 2020",Shoulders weren't too big - slim but go perfectly into the billowing sleeves. I'm 5'2 and was perfect length maxi with a low heeled boot. Easy to dress up or down. I wore a bandeau bra as you can see in photo but not necessary. Uber comfortable dress with nice colors - light blue and green mostly ,Rixo,Paisley Brooke Dress,$388 original retail,$30 – $40,"Black printed cotton (80% Cotton, 20% Silk). Hourglass. Long sleeves. V-neckline. Elastic waistband. 54"" from shoulder to hemline. Imported."
Love the fabric!,https://r-ap.rtrcdn.com/reviewimages/f34/1493475-largeThumb.jpg,Jenny,,Size worn: MR,Rented for: Other,"Usually wears: 6Height: 5' 3""Age: 34Bust size: 34CBody type: HourglassWeight: 140lbs",6,"5' 3""",34,Bust size: ,34C,Body type: ,HOURGLASS,140LBS,(4 out of 5 stars),"OCTOBER 11, 2020","This fabric reminded me a lot of the Dodo Bar Or fabric. Gorgeous print and super light and flowey. I loved the sleeves. I'm 5'3 so it was nearly a true maxi on me but felt great in the Charleston fall. I will say the neckline was quite low, so if that's a deal breaker for you, you probably won't feel too comfortable in this dress. But it was just my style, full and great movement!",Rixo,Paisley Brooke Dress,$388 original retail,$30 – $40,"Black printed cotton (80% Cotton, 20% Silk). Hourglass. Long sleeves. V-neckline. Elastic waistband. 54"" from shoulder to hemline. Imported."
Extremely Comfortable but not sexy...,https://r-ap.rtrcdn.com/reviewimages/da4/1484567-largeThumb.jpg,Shariece,TOP CONTRIBUTOR,Size worn: LR,Rented for: Everyday,"Usually wears: 10Height: 5' 7""Age: 43Bust size: 34DDD/EBody type: AthleticWeight: 189lbs",10,"5' 7""",43,Bust size: ,34DDD/E,Body type: ,ATHLETIC,189LBS,(5 out of 5 stars),"SEPTEMBER 9, 2020","This dress was comfortable, airy, and light. Great way to change things up while working from home. This dress is great for those with an athletic build. The middle is forgiving. It did feel like a 'House on the Prairie' dress when I looked at the bottom. That's the only thing that kept me from purchasing this dress. I feel comfortable--like it should be worn around the neighborhood and not while going out. ",Rixo,Paisley Brooke Dress,$388 original retail,$30 – $40,"Black printed cotton (80% Cotton, 20% Silk). Hourglass. Long sleeves. V-neckline. Elastic waistband. 54"" from shoulder to hemline. Imported."
Peasant but make it fancy,https://r-ap.rtrcdn.com/reviewimages/de6/1468003-largeThumb.jpg,Alison,TOP CONTRIBUTOR,Size worn: MR,Rented for: Work,"Usually wears: 6Height: 5' 7""Age: 38Bust size: 32CBody type: AthleticWeight: 140lbs",6,"5' 7""",38,Bust size: ,32C,Body type: ,ATHLETIC,140LBS,(5 out of 5 stars),"JUNE 9, 2020",This style is my jam - smocking makes it really easy to wear and the neckline was lovely. ,Rixo,Paisley Brooke Dress,$388 original retail,$30 – $40,"Black printed cotton (80% Cotton, 20% Silk). Hourglass. Long sleeves. V-neckline. Elastic waistband. 54"" from shoulder to hemline. Imported."
Great dress for instant pulled together look! ,https://r-ap.rtrcdn.com/reviewimages/e74/1488417-largeThumb.jpg,Monique,TOP CONTRIBUTOR,Size worn: XLR,Rented for: Everyday,"Usually wears: 14Height: 5' 8""Age: 38Bust size: 38GBody type: Full Bust",14,"5' 8""",38,Bust size: ,38G,Body type: ,FULL BUST,,(5 out of 5 stars),"JUNE 2, 2020",Love this dress! The sleeves are sheer so not heavy.  It was super comfortable and looks really nice on. ,Rixo,Paisley Brooke Dress,$388 original retail,$30 – $40,"Black printed cotton (80% Cotton, 20% Silk). Hourglass. Long sleeves. V-neckline. Elastic waistband. 54"" from shoulder to hemline. Imported."
Really big shoulders ,https://r-ap.rtrcdn.com/reviewimages/142/1445074-largeThumb.jpg,Emma,TOP CONTRIBUTOR,Size worn: XXSR,Rented for: Work,"Usually wears: 2Height: 5' 2""Age: 25Bust size: 34DBody type: PearWeight: 140lbs",2,"5' 2""",25,Bust size: ,34D,Body type: ,PEAR,140LBS,(3 out of 5 stars),"FEBRUARY 25, 2020",I size down and the shoulders were still too big for me. I don't know if the dress I got was stretched out because of the fabric it has or if it just runs really really big but I will be tugging at the shoulders when I wear it. ,Rixo,Paisley Brooke Dress,$388 original retail,$30 – $40,"Black printed cotton (80% Cotton, 20% Silk). Hourglass. Long sleeves. V-neckline. Elastic waistband. 54"" from shoulder to hemline. Imported."
Bohemian Beauty !!,https://r-ap.rtrcdn.com/reviewimages/c02/1428307-largeThumb.jpg,Becky,TOP CONTRIBUTOR,Size worn: XSR,Rented for: Work,"Usually wears: 4Height: 5' 7""Age: 43Bust size: 32DDD/EBody type: AthleticWeight: 130lbs",4,"5' 7""",43,Bust size: ,32DDD/E,Body type: ,ATHLETIC,130LBS,(5 out of 5 stars),"JANUARY 31, 2020",Wanted something different from what I normally wear - this dress was it! Colors are gorgeous. Professional yet still hip and trendy. Can easily transition to spring. So comfy too. ,Rixo,Paisley Brooke Dress,$388 original retail,$30 – $40,"Black printed cotton (80% Cotton, 20% Silk). Hourglass. Long sleeves. V-neckline. Elastic waistband. 54"" from shoulder to hemline. Imported."
Pretty dress,,Alisa ,TOP CONTRIBUTOR,Size worn: XSR,Overall fit: Small,Rented for: Everyday,4,"5' 7""",43,Bust size: ,34A,Body type: ,PEAR,135LBS,(4 out of 5 stars),"MARCH 30, 2022","I got a ton of compliments on this and liked the pattern and flow, but it was a bit tight through my hips, so I wasn't super comfortable. ",Rixo,Paisley Brooke Dress,$388 original retail,$30 – $40,"Black printed cotton (80% Cotton, 20% Silk). Hourglass. Long sleeves. V-neckline. Elastic waistband. 54"" from shoulder to hemline. Imported."
I wish I could own this. ,,Jehan,TOP CONTRIBUTOR,Size worn: SR,Overall fit: True to Size,Rented for: Everyday,6,"5' 3""",27,Body type: ,PETITE,,,,(5 out of 5 stars),"JANUARY 1, 2022",Loved this dress! ,Rixo,Paisley Brooke Dress,$388 original retail,$30 – $40,"Black printed cotton (80% Cotton, 20% Silk). Hourglass. Long sleeves. V-neckline. Elastic waistband. 54"" from shoulder to hemline. Imported."
Too long,,Renee,TOP CONTRIBUTOR,Size worn: None,Overall fit: Large,Rented for: Vacation,2,"5' 2""",60,Bust size: ,32C,Body type: ,HOURGLASS,108LBS,(3 out of 5 stars),"OCTOBER 27, 2021",I was wanting a midi dress but was definitely a maxi. Sent it back. ,Rixo,Paisley Brooke Dress,$388 original retail,$30 – $40,"Black printed cotton (80% Cotton, 20% Silk). Hourglass. Long sleeves. V-neckline. Elastic waistband. 54"" from shoulder to hemline. Imported."
Perfect fall dress,,S,TOP CONTRIBUTOR,Size worn: SR,Overall fit: True to Size,Rented for: Everyday,2,"5' 9""",33,Bust size: ,34A,Body type: ,STRAIGHT & NARROW,125LBS,(5 out of 5 stars),"OCTOBER 17, 2021","Sad to send this back! It can be dressed up or down, and the long length and sleeves give some extra coverage on cool early fall days (the fabric is lightweight though). I'm a size 2 and the S fit perfectly but I also could have worn an XS. I loved the unique pattern and mix of colors - the background almost looked like a dark navy in certain lighting. ",Rixo,Paisley Brooke Dress,$388 original retail,$30 – $40,"Black printed cotton (80% Cotton, 20% Silk). Hourglass. Long sleeves. V-neckline. Elastic waistband. 54"" from shoulder to hemline. Imported."
So flattering and comfortable!,,Brittany,TOP CONTRIBUTOR,Size worn: XSR,Overall fit: True to Size,Rented for: Date,4,"5' 5""",35,Bust size: ,34C,Body type: ,HOURGLASS,125LBS,(4 out of 5 stars),"SEPTEMBER 25, 2021",Loved the buttons to hide bra straps!,Rixo,Paisley Brooke Dress,$388 original retail,$30 – $40,"Black printed cotton (80% Cotton, 20% Silk). Hourglass. Long sleeves. V-neckline. Elastic waistband. 54"" from shoulder to hemline. Imported."
Too big,,Phoebe,TOP CONTRIBUTOR,Size worn: XSR,Overall fit: Large,Rented for: Everyday,0,"5' 2""",43,,,,,,(1 out of 5 stars),"AUGUST 25, 2021",Very nice fabric but too bad it doesn't,Rixo,Paisley Brooke Dress,$388 original retail,$30 – $40,"Black printed cotton (80% Cotton, 20% Silk). Hourglass. Long sleeves. V-neckline. Elastic waistband. 54"" from shoulder to hemline. Imported."
"effortless, easy wear. i've rented 3x ",,Christina,TOP CONTRIBUTOR,Size worn: MR,Overall fit: Large,Rented for: Everyday,12,"5' 5""",46,Bust size: ,38A,Body type: ,HOURGLASS,,(5 out of 5 stars),"AUGUST 3, 2021","Pros: easy to wear, lovely...can be made work appropriate or for wine tasting cons: smocking can make the top feel bigger than it is",Rixo,Paisley Brooke Dress,$388 original retail,$30 – $40,"Black printed cotton (80% Cotton, 20% Silk). Hourglass. Long sleeves. V-neckline. Elastic waistband. 54"" from shoulder to hemline. Imported."
Beautiful dress,,Laurie,TOP CONTRIBUTOR,Size worn: XLR,Overall fit: True to Size,Rented for: Everyday,14,"5' 4""",65,Bust size: ,38DDD/E,Body type: ,FULL BUST,,(5 out of 5 stars),"MAY 23, 2021",Just love this dress. So silky soft and beautiful.  Very easy to wear.  Dress up or down.  Second time I've rented this dress.  Each time lots of random compliments.  ,Rixo,Paisley Brooke Dress,$388 original retail,$30 – $40,"Black printed cotton (80% Cotton, 20% Silk). Hourglass. Long sleeves. V-neckline. Elastic waistband. 54"" from shoulder to hemline. Imported."
Elegant dress,,Anya,TOP CONTRIBUTOR,Size worn: XLR,Overall fit: True to Size,Rented for: Vacation,14,"5' 11""",57,Bust size: ,38C,Body type: ,APPLE,174LBS,(5 out of 5 stars),"APRIL 12, 2021","Other than a scratchy tag on my shoulder blade, this was a very beautiful and flattering dress to wear. Hope to rent it again. Maybe taping over the tag with a band-aid would work.",Rixo,Paisley Brooke Dress,$388 original retail,$30 – $40,"Black printed cotton (80% Cotton, 20% Silk). Hourglass. Long sleeves. V-neckline. Elastic waistband. 54"" from shoulder to hemline. Imported."
Did not rent for a set event just to wear and feel less frumpy during COVID! Lol,,Jewel,TOP CONTRIBUTOR,Size worn: LR,Overall fit: True to Size,Rented for: Everyday,10,"5' 5""",47,,,,,,(5 out of 5 stars),"FEBRUARY 27, 2021","Love this dress, even thought it is slightly ""little house on the prarie-ish."" The fit on the top was perfect for me (34DD) and the flow on the bottom was soft and lovely. More casual but would wear this to a lunch or a day with friends at an outdoor event, etc. Even would wear this as an everyday item for errands, Farmer's market, etc.",Rixo,Paisley Brooke Dress,$388 original retail,$30 – $40,"Black printed cotton (80% Cotton, 20% Silk). Hourglass. Long sleeves. V-neckline. Elastic waistband. 54"" from shoulder to hemline. Imported."
this dress and great company!,,RTR Customer,,Size worn: SR,Overall fit: True to Size,Rented for: Party,4,,,,,,,,(5 out of 5 stars),"NOVEMBER 18, 2020","snug to body but not tight fitting, comfortable",Rixo,Paisley Brooke Dress,$388 original retail,$30 – $40,"Black printed cotton (80% Cotton, 20% Silk). Hourglass. Long sleeves. V-neckline. Elastic waistband. 54"" from shoulder to hemline. Imported."
pretty fall feminine dress,,RTR Customer,TOP CONTRIBUTOR,Size worn: SR,Overall fit: True to Size,Rented for: Everyday,47,,,,,,,,(4 out of 5 stars),"NOVEMBER 14, 2020","Easy to wear, forgiving and feminine",Rixo,Paisley Brooke Dress,$388 original retail,$30 – $40,"Black printed cotton (80% Cotton, 20% Silk). Hourglass. Long sleeves. V-neckline. Elastic waistband. 54"" from shoulder to hemline. Imported."
Love!,,Kristen,TOP CONTRIBUTOR,Size worn: MR,Rented for: Work,"Usually wears: 4Height: 5' 6""Age: 41Bust size: 32DDBody type: Full BustWeight: 130lbs",4,"5' 6""",41,Bust size: ,32DD,Body type: ,FULL BUST,130LBS,(5 out of 5 stars),"SEPTEMBER 22, 2020","This is a great dress, really fun print, comfortable and flattering. Would definitely rent again. I got a M due to availability. I typically wear a 4, occasionally a 6 and it fit fine. The S probably would have worked as well. ",Rixo,Paisley Brooke Dress,$388 original retail,$30 – $40,"Black printed cotton (80% Cotton, 20% Silk). Hourglass. Long sleeves. V-neckline. Elastic waistband. 54"" from shoulder to hemline. Imported."
it's all about the back!,,Lesley,TOP CONTRIBUTOR,Size worn: SR,Overall fit: True to Size,Rented for: Party,8,"5' 6""",38,Bust size: ,36A,Body type: ,PEAR,148LBS,(4 out of 5 stars),"FEBRUARY 12, 2020",The back of this dress was flawless. It was eye catching without being obnoxious.,Rixo,Paisley Brooke Dress,$388 original retail,$30 – $40,"Black printed cotton (80% Cotton, 20% Silk). Hourglass. Long sleeves. V-neckline. Elastic waistband. 54"" from shoulder to hemline. Imported."
Comfortable and airy ,,Ella,TOP CONTRIBUTOR,Size worn: MR,Rented for: Work,"Usually wears: 8Height: 5' 7""Age: 31Bust size: 36CBody type: AthleticWeight: 155lbs",8,"5' 7""",31,Bust size: ,36C,Body type: ,ATHLETIC,155LBS,(4 out of 5 stars),"FEBRUARY 6, 2020",The fabric of this dress is very light and airy which made it very comfortable. The neckline was a little low for me but I still liked it ,Rixo,Paisley Brooke Dress,$388 original retail,$30 – $40,"Black printed cotton (80% Cotton, 20% Silk). Hourglass. Long sleeves. V-neckline. Elastic waistband. 54"" from shoulder to hemline. Imported."
Comfortable cozy Flowey and flattering,https://r-ap.rtrcdn.com/reviewimages/bbf/1681386-largeThumb.jpg,Ingrid yael ,TOP CONTRIBUTOR,Size worn: 40R,Overall fit: True to Size,Rented for: Everyday,8,"5' 4""",43,Bust size: ,36C,Body type: ,HOURGLASS,140LBS,(5 out of 5 stars),"APRIL 29, 2022",I love the color of this dress I didn't have to iron it the fabric is forgiving comfortable flowing and beautiful if you have a chance to parenthesis do it it's a hard one to get a hold of,See by Chloe,Janis Patchwork Maxi,$475 original retail,$45 – $60,"Black multicolor printed poly (100% Polyester). Maxi. Long sleeves. V-Neckline. Pull on styling. 56"" from shoulder to hemline. Imported."
LOVE!,https://r-ap.rtrcdn.com/reviewimages/5b0/1652442-largeThumb.jpg,Jill,TOP CONTRIBUTOR,Size worn: 40R,Overall fit: True to Size,Rented for: Vacation,8,"5' 7""",32,Bust size: ,36C,Body type: ,HOURGLASS,,(5 out of 5 stars),"FEBRUARY 17, 2022",This was one of my favorite rentals to date! Perfect wine country attire. So comfy and cute. ,See by Chloe,Janis Patchwork Maxi,$475 original retail,$45 – $60,"Black multicolor printed poly (100% Polyester). Maxi. Long sleeves. V-Neckline. Pull on styling. 56"" from shoulder to hemline. Imported."
Compliments Galore,https://r-ap.rtrcdn.com/reviewimages/345/1556976-largeThumb.jpg,Katie,TOP CONTRIBUTOR,Size worn: 40R,Overall fit: True to Size,Rented for: Everyday,10,"5' 10""",41,Bust size: ,36B,Body type: ,ATHLETIC,160LBS,(5 out of 5 stars),"JULY 6, 2021","I love this dress. I've gotten so many compliments on it and have worn it in multiple settings. There is no zipper and at first I was worried I wouldn't be able to get it over my broad shoulders but it worked out. The fit is great and very flattering. The fabric is lightweight and with its long sleeves, the dress is nice for an air conditioned office. ",See by Chloe,Janis Patchwork Maxi,$475 original retail,$45 – $60,"Black multicolor printed poly (100% Polyester). Maxi. Long sleeves. V-Neckline. Pull on styling. 56"" from shoulder to hemline. Imported."
Boho Beauty,https://r-ap.rtrcdn.com/reviewimages/937/1532824-largeThumb.jpg,Mackenzie,TOP CONTRIBUTOR,Size worn: 34R,Overall fit: True to Size,Rented for: Everyday,4,"5' 7""",29,Bust size: ,34D,Body type: ,STRAIGHT & NARROW,128LBS,(5 out of 5 stars),"MAY 9, 2021",Great dress! Exactly as photoed. It has some tailoring under the bust that adds some shape. The sleeves are billowy and fun. Would be a great maternity dress too. Recommend! Well made and breezy for warmer weather ,See by Chloe,Janis Patchwork Maxi,$475 original retail,$45 – $60,"Black multicolor printed poly (100% Polyester). Maxi. Long sleeves. V-Neckline. Pull on styling. 56"" from shoulder to hemline. Imported."
floral + pretty,https://r-ap.rtrcdn.com/reviewimages/cad/1531866-largeThumb.jpg,Katie,TOP CONTRIBUTOR,Size worn: 34R,Overall fit: True to Size,Rented for: Everyday,2,"5' 5""",36,Bust size: ,32D,Body type: ,STRAIGHT & NARROW,118LBS,(5 out of 5 stars),"MAY 6, 2021",throw on this dress and go. works as a casual run around look with sneakers or add heels and you're party ready. great spring option when it's sunny out but still a bit cold.,See by Chloe,Janis Patchwork Maxi,$475 original retail,$45 – $60,"Black multicolor printed poly (100% Polyester). Maxi. Long sleeves. V-Neckline. Pull on styling. 56"" from shoulder to hemline. Imported."
Silky smooth maxi,https://r-ap.rtrcdn.com/reviewimages/bb6/1533757-largeThumb.jpg,Ashley,TOP CONTRIBUTOR,Size worn: 40R,Overall fit: Large,Rented for: Everyday,10,"5' 6""",40,Bust size: ,36DD,Body type: ,ATHLETIC,170LBS,(5 out of 5 stars),"APRIL 27, 2021",I loved this maxi! It was light enough to wear in our humid heat and so comfortable! Dresses with no zipper I usually size down one because they can be big and baggy. I sized down one for this dress and it was great! I will definitely rent again in fall! ,See by Chloe,Janis Patchwork Maxi,$475 original retail,$45 – $60,"Black multicolor printed poly (100% Polyester). Maxi. Long sleeves. V-Neckline. Pull on styling. 56"" from shoulder to hemline. Imported."
"Easy, Comfortable, Fun Dress",,Jana,TOP CONTRIBUTOR,Size worn: 36R,Overall fit: True to Size,Rented for: Everyday,4,"5' 4""",36,Weight: ,135LBS,,,,(5 out of 5 stars),"APRIL 6, 2022","I loved this dress and will absolutely rent again. The sleeves were fun. The fit was great. Super comfortable, easy to wear, and could be dressed up or down. ",See by Chloe,Janis Patchwork Maxi,$475 original retail,$45 – $60,"Black multicolor printed poly (100% Polyester). Maxi. Long sleeves. V-Neckline. Pull on styling. 56"" from shoulder to hemline. Imported."
Bump friendly,,Paige,TOP CONTRIBUTOR,Size worn: 38R,Overall fit: True to Size,Rented for: Everyday,6,"5' 8""",36,Bust size: ,34C,Body type: ,PEAR,150LBS,(4 out of 5 stars),"MARCH 11, 2022",Wore this in my 3rd trimester,See by Chloe,Janis Patchwork Maxi,$475 original retail,$45 – $60,"Black multicolor printed poly (100% Polyester). Maxi. Long sleeves. V-Neckline. Pull on styling. 56"" from shoulder to hemline. Imported."
The print is too busy and not a flattering fit ,,Ali,TOP CONTRIBUTOR,Size worn: NONE,Overall fit: True to Size,"Usually wears: 8Height: 5' 9""Age: 33Bust size: 36CBody type: Straight & narrowWeight: 135lbs",8,"5' 9""",33,Bust size: ,36C,Body type: ,STRAIGHT & NARROW,135LBS,(2 out of 5 stars),"NOVEMBER 19, 2021",,See by Chloe,Janis Patchwork Maxi,$475 original retail,$45 – $60,"Black multicolor printed poly (100% Polyester). Maxi. Long sleeves. V-Neckline. Pull on styling. 56"" from shoulder to hemline. Imported."
"Not very flattering, just ok",,Claire,TOP CONTRIBUTOR,Size worn: 40R,Overall fit: Large,Rented for: Everyday,10,"5' 8""",44,Bust size: ,34B,Body type: ,PEAR,168LBS,(3 out of 5 stars),"SEPTEMBER 8, 2021",I generally love the oversized look but this one just didn't do it for me. It was comfortable and ok but not great.,See by Chloe,Janis Patchwork Maxi,$475 original retail,$45 – $60,"Black multicolor printed poly (100% Polyester). Maxi. Long sleeves. V-Neckline. Pull on styling. 56"" from shoulder to hemline. Imported."
I could live in this ,,Annaliese,TOP CONTRIBUTOR,Size worn: 40R,Overall fit: True to Size,Rented for: Everyday,6,"5' 7""",52,Bust size: ,38B,Body type: ,ATHLETIC,148LBS,(5 out of 5 stars),"JUNE 26, 2021","Wore this many times. Loved. 

It has a bit of shape in torso so not a complete bag. 

Soft. Comfy. Compliments. 

No pockets. ",See by Chloe,Janis Patchwork Maxi,$475 original retail,$45 – $60,"Black multicolor printed poly (100% Polyester). Maxi. Long sleeves. V-Neckline. Pull on styling. 56"" from shoulder to hemline. Imported."
So pretty ,,Sheri,TOP CONTRIBUTOR,Size worn: 36R,Overall fit: Large,Rented for: Work,6,"5' 6""",41,Bust size: ,34C,Body type: ,ATHLETIC,145LBS,(5 out of 5 stars),"JUNE 26, 2021",Silky and beautiful ,See by Chloe,Janis Patchwork Maxi,$475 original retail,$45 – $60,"Black multicolor printed poly (100% Polyester). Maxi. Long sleeves. V-Neckline. Pull on styling. 56"" from shoulder to hemline. Imported."
"Cool pattern, unflattering fit",,Carolyn,TOP CONTRIBUTOR,Size worn: 36R,Overall fit: True to Size,"Usually wears: 4Height: 5' 8""Age: 29Body type: HourglassWeight: 137lbs",4,"5' 8""",29,Body type: ,HOURGLASS,Weight: ,137LBS,,(3 out of 5 stars),"MAY 28, 2021","Fun and lightweight, although my boyfriend told me I looked like a milk maid. Perfect for a late spring / early fall day ",See by Chloe,Janis Patchwork Maxi,$475 original retail,$45 – $60,"Black multicolor printed poly (100% Polyester). Maxi. Long sleeves. V-Neckline. Pull on styling. 56"" from shoulder to hemline. Imported."
Perfection ,,Cara,TOP CONTRIBUTOR,Size worn: 34R,Overall fit: True to Size,Rented for: Everyday,2,"5' 4""",32,Bust size: ,32D,Body type: ,PETITE,115LBS,(5 out of 5 stars),"MAY 15, 2021","This dress is stunning. I'm wearing it right now and I feel like a goddess. Can be dressed up or down, very comfortable, flattering and easy. The print is boho and beautiful. Highly recommend! ",See by Chloe,Janis Patchwork Maxi,$475 original retail,$45 – $60,"Black multicolor printed poly (100% Polyester). Maxi. Long sleeves. V-Neckline. Pull on styling. 56"" from shoulder to hemline. Imported."
Potential baby shower outfit! ,https://r-ap.rtrcdn.com/reviewimages/fc4/1680221-largeThumb.jpg,Kristin,TOP CONTRIBUTOR,Size worn: SR,Overall fit: True to Size,Rented for: Party,6,"5' 4""",31,Bust size: ,34B,Body type: ,ATHLETIC,162LBS,(5 out of 5 stars),"APRIL 27, 2022","Flowy and comfy. Thinner silky material that I could see attracting a lot of  static so lotion up those legs in advance! 

The colors and style are beautiful. Good length, not too long! ",Josie,Pink Multi Floral Maxi,$198 original retail,$30,"Pink printed crepe (98% Polyester, 12% Spandex). Maxi. Short sleeves. Square neckline. Fully lined. 51"" from shoulder to hemline. Imported."
Lightweight and easy to throw on ,https://r-ap.rtrcdn.com/reviewimages/2bc/1635118-largeThumb.jpg,Marlo,TOP CONTRIBUTOR,Size worn: LR,Overall fit: True to Size,Rented for: Vacation,10,"5' 4""",43,Bust size: ,36DD,Body type: ,FULL BUST,160LBS,(4 out of 5 stars),"DECEMBER 28, 2021","This dress is super comfortable and weighs nothing. The pattern is a little busy, but it's different and fun for vacation. Looks cute with sleeves off shoulders or pulled up. ",Josie,Pink Multi Floral Maxi,$198 original retail,$30,"Pink printed crepe (98% Polyester, 12% Spandex). Maxi. Short sleeves. Square neckline. Fully lined. 51"" from shoulder to hemline. Imported."
It was perfect for a hot weather outdoor party!,https://r-ap.rtrcdn.com/reviewimages/524/1602988-largeThumb.jpg,Melanie,TOP CONTRIBUTOR,Size worn: XLR,Overall fit: True to Size,Rented for: Party,14,"5' 5""",51,Bust size: ,38DDD/E,Body type: ,HOURGLASS,192LBS,(5 out of 5 stars),"OCTOBER 17, 2021","Very comfortable, lightweight but not see through. I got a lot of compliments on it! ",Josie,Pink Multi Floral Maxi,$198 original retail,$30,"Pink printed crepe (98% Polyester, 12% Spandex). Maxi. Short sleeves. Square neckline. Fully lined. 51"" from shoulder to hemline. Imported."
"Super cute, almost bought it",https://r-ap.rtrcdn.com/reviewimages/77a/1601581-largeThumb.jpg,Jill,TOP CONTRIBUTOR,Size worn: MR,Overall fit: True to Size,Rented for: Party,6,"5' 5""",41,Body type: ,PEAR,,,,(5 out of 5 stars),"OCTOBER 14, 2021",Love this dress. Hard to see the sleeves in this photo but they are super flattering. You can dress this up or down. Contemplated buying it!,Josie,Pink Multi Floral Maxi,$198 original retail,$30,"Pink printed crepe (98% Polyester, 12% Spandex). Maxi. Short sleeves. Square neckline. Fully lined. 51"" from shoulder to hemline. Imported."
Beautiful off the shoulder look,https://r-ap.rtrcdn.com/reviewimages/676/1586244-largeThumb.jpg,Rachel,TOP CONTRIBUTOR,Size worn: SR,Overall fit: True to Size,Rented for: Wedding,6,"5' 4""",32,Bust size: ,34C,Body type: ,HOURGLASS,145135LBS,(5 out of 5 stars),"SEPTEMBER 14, 2021",Absolutely loved the colors of this dress and the style. Super comfortable if you feel you have a gained a tad bit of weight. Very flattering and eye catching! ,Josie,Pink Multi Floral Maxi,$198 original retail,$30,"Pink printed crepe (98% Polyester, 12% Spandex). Maxi. Short sleeves. Square neckline. Fully lined. 51"" from shoulder to hemline. Imported."
Covers up all problem areas - conceals all,https://r-ap.rtrcdn.com/reviewimages/e98/1584792-largeThumb.jpg,Annie,TOP CONTRIBUTOR,Size worn: XLR,Overall fit: Large,"Usually wears: 14Height: 5' 8""Age: 38Bust size: 38DDD/EBody type: Hourglass",14,"5' 8""",38,Bust size: ,38DDD/E,Body type: ,HOURGLASS,,(5 out of 5 stars),"SEPTEMBER 11, 2021",Very flattering and luxe feeling fabric - easy to wear in the heat. Get so many compliments on this dress - have rented a few times - also doesn't wrinkle in a suitcase ,Josie,Pink Multi Floral Maxi,$198 original retail,$30,"Pink printed crepe (98% Polyester, 12% Spandex). Maxi. Short sleeves. Square neckline. Fully lined. 51"" from shoulder to hemline. Imported."
"Beautiful colors, light and airy, shoulders out!",https://r-ap.rtrcdn.com/reviewimages/de8/1574342-largeThumb.jpg,Dakotah,TOP CONTRIBUTOR,Size worn: SR,Overall fit: True to Size,Rented for: Everyday,4,"5' 7""",34,Bust size: ,34A,Body type: ,ATHLETIC,135LBS,(5 out of 5 stars),"AUGUST 17, 2021","Loved this! Very fun and colorful for going to the Museum of Ice Cream. I also wore this again for everyday. Not particularly flattering as it's more of a smock and a-line, but still very cute!",Josie,Pink Multi Floral Maxi,$198 original retail,$30,"Pink printed crepe (98% Polyester, 12% Spandex). Maxi. Short sleeves. Square neckline. Fully lined. 51"" from shoulder to hemline. Imported."
